lat,lon,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,dvLAB,dvLABstd,breadthLAB,typeLAB
23.781,90.072,4.083805898647,0.9091,0.0685430901868154,0.0456953934578769,0.001,Ps,9.2696782879362,0.2326,0.0424867656062937,0.0283245104041958,1,Ps,13.8595683156854,0.2222,0.0263150925245604,0.00805223672634557,1,Ps
23.7872363338084,90.0898016522492,4.20727727138278,0.9091,0.0198552498652778,0.0132368332435185,0.001,Ps,9.37898922209589,0.2326,0.0372675080762968,0.0248450053841979,1,Ps,14.6149101668705,0.2222,0.0287254104543494,0.0141894305488671,1,Ps
23.7934706260805,90.1076050124479,4.19650626891108,0.9091,0.00635109750586434,0.00423406500390956,0.001,Ps,9.33783277983196,0.2326,0.0414862268294627,0.0276574845529752,1,Ps,14.6119333121456,0.2222,0.0311927549949105,0.020795169996607,1,Ps
23.7997028760182,90.125410080704,6.65280328506047,0.274,0.00826491231422409,0.00213713347513564,0.001,Ps,8.61318846236366,0.2326,0.0449655414350611,0.019314021833184,1,Ps,14.5824387155487,0.2222,0.028934634202702,0.0192897561351347,1,Ps
23.8059330828239,90.1432168571248,5.8178940675056,0.2326,0.0151914262195383,0.0101276174796922,0.001,Ps,8.59048333822645,0.2326,0.049660357792579,0.0112464815040396,1,Ps,15.1996142983678,0.2222,0.0252846573049094,0.0168564382032729,1,Ps
23.8121612456997,90.1610253418169,4.99927736859449,0.274,0.0126579160099054,0.00125234765592944,0.001,Ps,8.60378072898893,0.2326,0.0586803757989762,0.0171682133694839,1,Ps,15.2180681434498,0.2222,0.0232891840047513,0.0155261226698342,1,Ps
23.8183873638478,90.1788355348863,4.99705000337586,0.274,0.0149553446776046,0.00747767233880232,0.001,Ps,9.29136695163155,0.2326,0.0746098719408658,0.0342903755974676,1,Ps,15.2578067071471,0.2222,0.0216875185103534,0.0144583456735689,1,Ps
23.8246114364704,90.1966474364381,4.17898234393476,0.274,0.0231304640308138,0.0154203093538759,0.001,Ps,9.37186550403368,0.2326,0.0890182220642157,0.0593454813761438,1,Ps,15.937221810781,0.2222,0.0192051970573108,0.0128034647048739,1,Ps
23.8308334627698,90.2144610465769,4.18872730920558,0.9091,0.0374655622101451,0.0249770414734301,0.001,Ps,10.0409069713506,0.2326,0.08648877712855,0.0576591847523667,1,Ps,15.9877136257158,0.2222,0.0190321547852035,0.0126881031901357,1,Ps
23.8370534419483,90.2322763654068,4.18152365211732,0.9091,0.0756168909930623,0.0504112606620415,0.001,Ps,10.0677352419447,0.2326,0.0809953231737705,0.053996882115847,1,Ps,15.9966011741755,0.2222,0.0180901864113403,0.0120601242742269,1,Ps
23.843271373208,90.2500933930309,4.1049226489952,0.9091,0.1115743231631,0.0743828821087331,0.001,Ps,9.98727764087781,0.2326,0.0781186221855678,0.0520790814570452,1,Ps,16.5267629070364,0.2222,0.0186672993763817,0.0124448662509211,1,Ps
23.8494872557513,90.2679121295518,4.12652712136568,0.9091,0.0814603354362627,0.0543068902908418,0.001,Ps,10.0144937477392,0.2326,0.0721253206434088,0.0480835470956059,1,Ps,16.5598602632643,0.2222,0.0191618418922562,0.0127745612615041,1,Ps
23.8557010887804,90.2857325750715,4.21205032333837,0.9091,0.0109804034129748,0.00338783091664221,0.001,Ps,10.1041658232502,0.2326,0.0651961924511643,0.0434641283007762,1,Ps,16.664176030478,0.2222,0.0177581606945958,0.0118387737963972,1,Ps
23.8619128714977,90.3035547296913,4.19513769550748,0.9091,0.00803474854968394,0.00535649903312263,0.001,Ps,10.0511587540998,0.2326,0.0598922742433856,0.0399281828289237,1,Ps,16.6300206579959,0.2222,0.0151091277480843,0.0100727518320562,1,Ps
23.8681226031054,90.3213785935116,4.18246252802712,0.9091,0.0054902017064874,0.00169391545832111,0.001,Ps,9.33174712293508,0.2326,0.0524823120631539,0.0232855841758696,1,Ps,16.5862315869203,0.2222,0.0130117369850646,0.00867449132337641,1,Ps
23.8743302828059,90.3392041666324,4.19208123589927,0.9091,0.00460121232259414,0.00306747488172943,0.001,Ps,8.63472630083274,0.2326,0.0445991813599031,0.00882049024733433,1,Ps,16.566608056866,0.2222,0.0119789225784765,0.00798594838565102,1,Ps
23.8805359098015,90.3570314491529,4.99565582236644,0.274,0.00551052206424618,0.00300947790552204,0.001,Ps,8.60563634623986,0.2326,0.0447565158557148,0.0127907308738157,1,Ps,16.5454007999502,0.2222,0.0114902964136417,0.00766019760909446,1,Ps
23.8867394832945,90.3748604411718,4.9916921004782,0.274,0.0185248430506869,0.0123498953671246,0.001,Ps,9.27947689668381,0.2326,0.0479794787246145,0.0244961449898634,1,Ps,16.5660466532066,0.2222,0.0111609744166344,0.00744064961108959,1,Ps
23.8929410024874,90.3926911427869,5.01938719582457,0.274,0.0444391430734945,0.0296260953823296,0.001,Ps,9.34936669009162,0.2326,0.0480836048599399,0.0320557365732933,1,Ps,16.6245979065922,0.2222,0.011712519519231,0.007808346346154,1,Ps
23.8991404665826,90.4105235540954,4.2110043511346,0.9091,0.0701681256056306,0.0467787504037537,0.001,Ps,9.35980522947873,0.2326,0.0478250835571673,0.0318833890381115,1,Ps,16.6235415707443,0.2222,0.012680366252647,0.00845357750176464,1,Ps
23.9053378747824,90.4283576751939,4.99369951931736,0.274,0.0470390908156589,0.00786699200609267,0.001,Ps,9.99891774020366,0.2326,0.0506395873559269,0.0337597249039513,1,Ps,16.6194376271378,0.2222,0.0126358965642321,0.00842393104282142,1,Ps
