lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB,ttSed,ttSedstd,dvSed,dvSedstd,breadthSed,typeSed
39.75,-119,10.368,0.564521,0.0799083,0.0517839,1,Ps,10.5111,0.192381,0.0437217,0.00561889,20.2800030518044,Sp,0.97604277501407,0.11396727249149,0.682602336036481,0.362556176249084,0.001,Ps
40,-119,9.25933,0.504649,0.110698,0.0606922,1,Ps,10.9231,0.416354,0.0395738,0.00937827,28.2398512188613,Sp,0.64932467805631,0.10395128918613,0.49498848610023,0.266305900898223,0.001,Ps
40.25,-119,9.02974,0.43808,0.122228,0.0597422,1,Ps,11.1808,0.256031,0.0468136,0.010778,38.8998245212482,Sp,0.593395396065032,0.101659878519207,0.454830832013812,0.235130852976869,0.001,Ps
40.5,-119,9.16955,0.435247,0.141364,0.0745777,1,Ps,10.639,0.639756,0.0446182,0.00844805,34.9099752050353,Sp,0.390038299980371,0.105226312243102,0.426222550791304,0.310080612545907,0.001,Ps
40.75,-119,8.91778,0.381215,0.185843,0.0570341,1,Ps,9.46873,0.638556,0.0396331,0.00586976,38.5198748760204,Sp,0.368671380186883,0.104937108408802,0.437482648607565,0.332338043833626,0.001,Ps
41,-119,9.0828,0.504248,0.161541,0.070051,1,Ps,11.1291,1.1147,0.0389996,0.0020838,2.11031242563573,Sp,0.311842536615031,0.105036016596885,0.402191029233275,0.334447156377435,0.001,Ps
41.25,-119,9.57936,0.557706,0.141214,0.0799965,1,Ps,11.1017,0.477659,0.0389548,0.00232065,35.9201190203708,Sp,0.208879940394924,0.10800895114841,0.352093880881644,0.334290707942356,0.001,Ps
41.5,-119,9.85294,0.565459,0.13809,0.0765335,1,Ps,10.5006,0.351074,0.0379019,0.00592668,35.8300942254061,Sp,0.184126940926277,0.110248607225756,0.342135938121227,0.31877833983359,0.001,Ps
41.75,-119,10.3318,0.498989,0.160853,0.0706295,1,Ps,10.8813,0.385314,0.0357557,0.00698503,25.180056458381,Sp,0.159474133032433,0.114612961396468,0.338603773756852,0.271575393074163,0.001,Ps
42,-119,10.6694,0.500134,0.174753,0.0558813,1,Ps,10.9185,0.257513,0.0354223,0.00387149,45,Sp,0.130973041834464,0.108481885294374,0.325600164147459,0.245274882871675,0.001,Ps
