lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,breadthMoho,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,breadthLAB,typeLAB
40.75,-119,8.91778,0.381215,0.185843,0.0570341,1,Ps,9.46873,0.638556,0.0396331,0.00586976,38.5198748760204,Sp
41,-119,9.0828,0.504248,0.161541,0.070051,1,Ps,11.1291,1.1147,0.0389996,0.0020838,2.11031242563573,Sp
41.25,-119,9.57936,0.557706,0.141214,0.0799965,1,Ps,11.1017,0.477659,0.0389548,0.00232065,35.9201190203708,Sp
41.5,-119,9.85294,0.565459,0.13809,0.0765335,1,Ps,10.5006,0.351074,0.0379019,0.00592668,35.8300942254061,Sp
41.75,-119,10.3318,0.498989,0.160853,0.0706295,1,Ps,10.8813,0.385314,0.0357557,0.00698503,25.180056458381,Sp
42,-119,10.6694,0.500134,0.174753,0.0558813,1,Ps,10.9185,0.257513,0.0354223,0.00387149,45,Sp
42.25,-119,10.3441,0.43918,0.147517,0.0537892,1,Ps,10.9153,0.161031,0.0378044,0.0056276,12.6899748226139,Sp
42.5,-119,10.1326,0.312502,0.145096,0.0627665,1,Ps,10.6576,0.192766,0.0455713,0.00300038,14.6200297494175,Sp
42.75,-119,10.1693,0.381929,0.148884,0.0629482,1,Ps,10.3978,0.191648,0.0425048,0.00215447,34.5399404898146,Sp
43,-119,10.011,0.379963,0.162297,0.0868368,1,Ps,9.8727,0.286783,0.0439657,0.00299377,30.3700347152207,Sp
43.25,-119,10.2749,0.318745,0.18343,0.092148,1,Ps,9.54997,0.0953898,0.0475075,0.00321132,32.8700312809949,Sp
43.5,-119,10.2593,0.50074,0.177811,0.0878894,1,Ps,9.53236,0.095149,0.041687,0.00562162,25.6500446354767,Sp
43.75,-119,9.95861,0.496942,0.129713,0.0692439,1,Ps,9.64054,0.15758,0.0337692,0.00617407,23.6902037079423,Sp
44,-119,9.87906,0.557008,0.100165,0.0567426,1,Ps,10.0469,0.471487,0.0299283,0.00532548,29.4499156948499,Sp
44.25,-119,9.8415,0.751817,0.101682,0.0527773,1,Ps,10.7171,0.439054,0.0226822,0.00386299,25.4600595101854,Sp
44.5,-119,9.7832,0.749029,0.111631,0.0413239,1,Ps,10.7443,0.250752,0.0237377,0.00593445,38.3398115491878,Sp
44.75,-119,10.0019,0.68314,0.0910316,0.0418498,1,Ps,10.7569,0.0937533,0.0372347,0.00416303,33.0500877393759,Sp
45,-119,10.2034,0.608748,0.0631427,0.0375625,1,Ps,10.8667,0.0932908,0.0398469,0.0022518,34.4399801594881,Sp
33.25,-118.75,6.39367,0.30071,0.0917526,0.0514634,1,Ps,13.3136,0.189868,0.0237209,0.00166433,10.7396810864424,Sp
33.5,-118.75,6.69357,0.309361,0.0910033,0.0511302,1,Ps,13.3551,0.222238,0.0228853,0.00104516,12.8699218004959,Sp
33.75,-118.75,7.02555,0.370941,0.117178,0.0479496,1,Ps,13.0623,0.253679,0.0275818,0.0042992,8.21977035477633,Sp
34,-118.75,7.11064,0.436589,0.0773472,0.0360596,1,Ps,12.5228,0.157432,0.034787,0.00388026,23.7895815222704,Sp
34.25,-118.75,7.5371,0.506025,0.0733238,0.0335934,1,Ps,12.3746,0.0940471,0.0336514,0.00380881,26.4696345464256,Sp
34.5,-118.75,7.98496,0.512146,0.0646896,0.0353488,1,Ps,12.199,0.219699,0.0316096,0.00232343,32.5097447975881,Sp
34.75,-118.75,8.20881,0.578948,0.0584847,0.0319657,1,Ps,12.0584,0.160834,0.0325126,0.00198814,30.5498970016022,Sp
35,-118.75,8.92946,0.511044,0.0390733,0.0289342,1,Ps,11.8314,0.0645003,0.0341014,0.00202659,26.0097623397881,Sp
35.25,-118.75,9.21441,0.638773,0.0363221,0.0268711,1,Ps,11.773,0.128095,0.0365291,0.00281972,40,Sp
35.5,-118.75,9.81678,0.634958,0.0778763,0.0314346,1,Ps,11.66,0.158267,0.0356045,0.00268442,34.0802624551766,Sp
35.75,-118.75,10.093,0.634118,0.0836023,0.0333761,1,Ps,11.5748,0.215734,0.0353067,0.00459477,42.9598687724117,Sp
36,-118.75,10.2169,0.69481,0.0783522,0.0347902,1,Ps,11.6713,0.183043,0.0359221,0.00531492,37.5097447975881,Sp
36.25,-118.75,10.5107,0.56945,0.0893454,0.0349976,1,Ps,11.5589,0.244499,0.0360149,0.00760067,21.1203936827649,Sp
36.5,-118.75,10.0178,0.635105,0.0661187,0.0297364,1,Ps,11.7729,0.244769,0.0343314,0.00327276,22.5097447975881,Sp
36.75,-118.75,9.77076,0.89186,0.0521141,0.0283654,1,Ps,11.829,0.0926142,0.0371393,0.0035386,22.7798123140307,Sp
37,-118.75,10.2342,0.822492,0.091151,0.0325881,1,Ps,11.5459,0.217342,0.0447827,0.00451143,10.8308297026946,Sp
37.25,-118.75,10.3952,0.891575,0.0864458,0.0346142,1,Ps,11.2312,0.187427,0.0450658,0.0052541,33.5097657740139,Sp
37.5,-118.75,10.7282,0.578029,0.0917891,0.0351533,1,Ps,10.8902,0.283357,0.0342061,0.00650807,38.6095319323409,Sp
37.75,-118.75,10.7593,0.575838,0.125167,0.0502983,1,Ps,10.8701,0.191195,0.0266667,0.00407356,29.0597945115992,Sp
38.5,-118.75,10.3446,0.516089,0.136492,0.0622659,1,Ps,11.2557,0.0954452,0.0241194,0.00233602,12.1299687190051,Sp
38.75,-118.75,10.4002,0.511115,0.10773,0.054579,1,Ps,11.4758,0.285954,0.0274829,0.0031723,21.4902342259861,Sp
39,-118.75,10.4156,0.571314,0.0908396,0.0506324,1,Ps,12.1171,0.539934,0.0274131,0.00141637,14.7299256151059,Sp
39.25,-118.75,10.4977,0.635627,0.0865818,0.0502013,1,Ps,12.2778,0.572321,0.0264763,0.00213277,16.8503471427481,Sp
39.5,-118.75,10.9131,0.571853,0.0703908,0.0483068,1,Ps,11.4858,0.670225,0.029795,0.00542519,23.250549705318,Sp
